year,min_value,max_value
2020,13.306489753021545,15.211017301323698
2025,15.199507682458625,17.843374805583398
2030,17.21120714727609,21.14524273963317
2035,19.08757712610701,25.04385806182054
2040,20.937969369274473,29.10568158253449
2045,22.837928731198335,33.33890110925907
2050,24.788261713700226,37.64498948411118
