model,scenario,region,variable,unit,year,value,data_source
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,29.10166029274298,ar6
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,33.33890110925907,ar6
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,37.64498948411118,ar6
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.873968660198921,ar6
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,17.053780670213403,ar6
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,19.131166598915826,ar6
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,21.292060524435684,ar6
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,23.433152155322897,ar6
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,25.675261819979426,ar6
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,27.999482816392455,ar6
TIAM-Grantham 3.2,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,13.306489753021545,ar6
TIAM-Grantham 3.2,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,17.321069829359796,ar6
TIAM-Grantham 3.2,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,21.16522530723714,ar6
TIAM-Grantham 3.2,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,25.225602442481737,ar6
WITCH-GLOBIOM 4.2,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.530842672737098,ar6
WITCH-GLOBIOM 4.2,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,16.653729521594798,ar6
WITCH-GLOBIOM 4.2,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,18.747038401601884,ar6
WITCH-GLOBIOM 4.2,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,20.767487453806023,ar6
WITCH-GLOBIOM 4.2,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,22.84350002580623,ar6
WITCH-GLOBIOM 4.2,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,25.00088574364829,ar6
WITCH-GLOBIOM 4.2,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,27.231081955391087,ar6
WITCH-GLOBIOM 4.4,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.578076152869333,ar6
WITCH-GLOBIOM 4.4,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,16.760208207302473,ar6
WITCH-GLOBIOM 4.4,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,18.885263676363316,ar6
WITCH-GLOBIOM 4.4,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,20.928747568678954,ar6
WITCH-GLOBIOM 4.4,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,23.040429160250778,ar6
WITCH-GLOBIOM 4.4,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,25.235298041105,ar6
WITCH-GLOBIOM 4.4,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,27.50034850022919,ar6
