model,scenario,region,variable,unit,year,value,data_source
IMAGE 3.0.1,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,25.624256233719517,ar6
IMAGE 3.0.1,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,27.874876835421798,ar6
IMAGE 3.0.1,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.671028592276254,ar6
IMAGE 3.0.1,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,17.00343994877536,ar6
IMAGE 3.0.1,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,19.262867735727518,ar6
IMAGE 3.0.1,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,21.40133307523966,ar6
IMAGE 3.0.1,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,23.57469490918601,ar6
IMAGE 3.0.1,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,25.804557814293222,ar6
IMAGE 3.0.1,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,28.071014598170567,ar6
MESSAGE-GLOBIOM 1.0,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.613159467892922,ar6
MESSAGE-GLOBIOM 1.0,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,19.03445658975622,ar6
MESSAGE-GLOBIOM 1.0,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,23.24945374593723,ar6
MESSAGE-GLOBIOM 1.0,ADVANCE_Reference,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,27.700532548960584,ar6
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.720859333223846,ar6
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,19.18473317004477,ar6
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,23.449790403679213,ar6
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,27.957323172178498,ar6
MESSAGEix-GLOBIOM_1.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.724445491598845,ar6
MESSAGEix-GLOBIOM_1.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,19.19146616826385,ar6
MESSAGEix-GLOBIOM_1.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,23.463166981655373,ar6
MESSAGEix-GLOBIOM_1.0,CO_CurPol,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,27.974375245608197,ar6
MESSAGEix-GLOBIOM_1.1,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,14.731929736250777,ar6
MESSAGEix-GLOBIOM_1.1,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,17.37522020025105,ar6
MESSAGEix-GLOBIOM_1.1,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,19.18295568869185,ar6
MESSAGEix-GLOBIOM_1.1,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,21.590038936309483,ar6
MESSAGEix-GLOBIOM_1.1,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,23.43961702591875,ar6
MESSAGEix-GLOBIOM_1.1,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,25.936205092468978,ar6
MESSAGEix-GLOBIOM_1.1,EN_NPi2100,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,27.939396921696893,ar6
MESSAGEix-GLOBIOM_1.1,EN_NPi2100_COV,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,13.623839948912888,ar6
MESSAGEix-GLOBIOM_1.1,EN_NPi2100_COV,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,15.669785898130565,ar6
MESSAGEix-GLOBIOM_1.1,EN_NPi2100_COV,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,17.269281981459958,ar6
MESSAGEix-GLOBIOM_1.1,EN_NPi2100_COV,World,GDP|PPP|Per Capita,thousand US$2010/yr,2035,19.399972685473326,ar6
MESSAGEix-GLOBIOM_1.1,EN_NPi2100_COV,World,GDP|PPP|Per Capita,thousand US$2010/yr,2040,21.029286712564364,ar6
MESSAGEix-GLOBIOM_1.1,EN_NPi2100_COV,World,GDP|PPP|Per Capita,thousand US$2010/yr,2045,23.22703287692588,ar6
MESSAGEix-GLOBIOM_1.1,EN_NPi2100_COV,World,GDP|PPP|Per Capita,thousand US$2010/yr,2050,24.984508070510017,ar6
MESSAGEix-GLOBIOM_1.1,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2020,15.211017301323698,ar6
MESSAGEix-GLOBIOM_1.1,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2025,17.495314737728403,ar6
MESSAGEix-GLOBIOM_1.1,NGFS2_Current Policies,World,GDP|PPP|Per Capita,thousand US$2010/yr,2030,19.281150975781866,ar6
