year,min_value,max_value
2020,7534.90062248236,7795.136232000012
2025,7869.920994576659,8188.233699000013
2030,8098.1893,8555.261709000017
2035,8262.9438,8897.475219000013
2040,8385.991,9238.143921000015
2045,8461.9186,9498.946466000016
2050,8488.108,9755.900937000024
