Model;Scenario;Region;Variable;Unit;1970;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
IMAGE 3.3;TECH_19;WEU;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;5.8660874000000005;6.684881900000001;7.647139800000001;7.308308;6.74622;5.590893100000001;4.9363215;4.4377359;3.6234852;3.9240632000000004;3.8030029;3.5351736000000002;3.3241848000000003;3.2303849000000002;3.1305103;3.0769103;3.0149924;3.0943775000000002;3.1699658000000004;3.2085629;3.2428721;3.2831982;3.3257382000000004;3.3605750000000003;3.3907092000000003;3.4082030000000003;3.4306232000000003
IMAGE 3.3;TECH_19;INDIA;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;4.1410995;5.1568005;6.1794796000000005;8.260032500000001;9.945804800000001;11.848567000000001;12.917314000000001;14.583101000000001;17.783437000000003;18.42801;21.414906000000002;19.360705000000003;17.632293;15.509954;13.699171000000002;11.970189000000001;10.452794;10.612106;10.765684;10.878697;10.992573;11.100700000000002;11.206339;11.299054;11.401704;11.502675;11.597492
IMAGE 3.3;TECH_19;INDO;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.25245901000000004;0.31686544;0.76892006;1.2209571000000001;1.5125078;1.6630961000000002;1.5643351;1.5980234000000002;1.0027416;0.27070746;1.0560203000000001;1.4903798000000001;2.0208481000000003;2.5380076000000003;3.1331341000000004;3.7287455;4.4005514;4.4794296000000005;4.5592709000000005;4.6346885;4.707824100000001;4.7674455;4.8251039;4.8807188;4.938835500000001;4.998353900000001;5.054229
IMAGE 3.3;TECH_19;JAP;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.7260937000000001;0.8063808;0.8624012200000001;0.96711718;0.9255657;0.8490767400000001;0.7725177000000001;0.7469888;0.63905939;0.57516979;0.5736460200000001;0.48028541;0.40465002;0.34251126000000004;0.29019571;0.24769856;0.21141120000000002;0.20853365000000001;0.20569094000000002;0.20184458000000002;0.19802226;0.19358806;0.1892368;0.18296962;0.17677579000000002;0.16977829;0.16277904
IMAGE 3.3;TECH_19;KOR;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.50112157;0.6645022100000001;0.92695117;0.92904218;1.030583;0.62209062;0.6440405800000001;0.5892535;0.43696314;0.37692227;0.33415194000000004;0.30483190000000004;0.27846413000000003;0.25167779;0.22724358;0.20350746;0.18207912;0.18168379;0.18129978000000002;0.18088120000000002;0.1804745;0.17948104;0.17856435;0.17691501;0.17532376000000002;0.17362371000000001;0.17189437000000002
IMAGE 3.3;TECH_19;MEX;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.44143024000000003;0.76548346;1.0005162;1.1886227;1.2345866;0.9996172200000001;1.4531775;1.3041874;1.1607539;1.1474520000000001;1.4937347;1.3188163000000002;1.1745821;1.0759498;0.9645160300000001;0.87897024;0.7937323500000001;0.8222536300000001;0.8510592600000001;0.87815008;0.90550048;0.9285630100000001;0.9481159;0.9625376600000001;0.97852346;0.9893615400000001;0.9993372800000001
IMAGE 3.3;TECH_19;ME;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.61780608;0.80486022;1.0735182;1.5449856000000002;1.7214218000000001;1.8069413;2.238367;2.3124539;2.0837212000000003;1.5551276;1.9626282000000002;1.6874163000000002;1.4607508;1.1555570000000002;0.9108119;0.65503814;0.5333914200000001;0.4545887;0.45713213;0.46676896;0.59890765;0.58719539;0.51749254;0.48891494;0.67654042;0.50849328;0.5054379800000001
IMAGE 3.3;TECH_19;NAF;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.7433436800000001;0.9087737;1.1476193000000001;1.3004737000000002;1.3885253000000002;1.4813411;1.6906437;1.8629814;1.7114353000000002;1.7707222;1.8819734000000001;1.7574948000000001;1.6116408000000002;1.4844306;1.3586732000000001;1.2588262000000001;1.1495122;1.2268329;1.304289;1.336181;1.3679745;1.4364876000000002;1.5051515000000002;1.5741247;1.6428036000000001;1.698153;1.7536745
IMAGE 3.3;TECH_19;OCE;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.20503771;0.22300915000000002;0.22721019;0.2106876;0.36885722000000004;0.5365643800000001;0.5884794200000001;0.8238314200000001;0.7382662400000001;1.0226076000000002;1.3634185;1.1481299;0.9799605800000001;0.90657107;0.83990387;0.71633824;0.5697593000000001;0.5759521900000001;0.5995112300000001;0.6206681000000001;0.63313971;0.62820595;0.61718816;0.60267008;0.60235565;0.6074864000000001;0.60426579
IMAGE 3.3;TECH_19;RUS;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;3.9596196000000004;5.0881587;5.59027;6.8273229;5.5090186;1.5058653000000002;1.3793713;1.0896261;1.2454643;0.9743353;1.3174545;1.4665361000000001;1.6220349;1.7777888000000002;1.9413343;2.1212172000000002;2.3088858;2.3506324000000003;2.3924751;2.4279685;2.4631281;2.4699625000000003;2.4768914;2.4676429;2.4582226;2.4537894000000002;2.4493327000000003
IMAGE 3.3;TECH_19;RSAF;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.26001102000000004;0.30760522;0.4079128;0.37913658;0.44710221000000006;0.48516966;0.38304381000000004;0.41588013;0.5762697600000001;0.6762899800000001;0.99245517;1.0118382000000001;1.0045313;0.9848146600000001;0.9577523800000001;0.9192025;0.8582846700000001;0.87301107;0.8683459800000001;0.8788428800000001;0.90162483;0.9047238400000001;0.9169228800000001;0.9174368;0.9313015;0.93680646;0.92937312
IMAGE 3.3;TECH_19;RSAS;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;1.3322769;1.6576232000000002;2.2794808;2.6285404000000003;3.2539402;4.1824778;4.5322829;5.0395274;5.781674000000001;6.2765901;7.122973200000001;6.3138693;5.6519782;4.9837046;4.401274900000001;3.8686973000000004;3.3817984;3.4815386000000004;3.582443;3.657366;3.7324193;3.7664850000000003;3.8001756;3.8171069;3.8355062;3.8646697000000003;3.8921203
IMAGE 3.3;TECH_19;SAF;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.23486534;0.31352858;0.46202067;0.42081846;0.42460032000000003;0.44458326000000004;0.46551946000000005;0.40393520000000005;0.41690234000000004;0.36500854000000005;0.54119302;0.50731472;0.49017232000000005;0.47991482;0.46405248000000004;0.45740493000000004;0.44288608;0.47316784;0.5034601000000001;0.51588995;0.52827459;0.5379398400000001;0.54761651;0.5551151400000001;0.56261254;0.57062285;0.57861594
IMAGE 3.3;TECH_19;SEAS;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;1.0134493;1.0270547;1.0107924000000001;1.407937;1.9351688;2.3408855;2.8222431;2.4775634;2.8142502;2.8199862;2.7930829000000004;2.9628508;3.2089966000000003;3.3762619000000003;3.5548454;3.6963039;3.8403502;3.9026524;3.9643095;4.0202916;4.0760806;4.1246162;4.1734249000000005;4.2125281;4.2522373;4.2908027;4.3292191
IMAGE 3.3;TECH_19;RSAM;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.6328439;0.69019379;0.87612851;0.43396474;0.99231002;1.2713298000000002;1.3196114;1.4454186;1.8522785000000002;1.1627436;1.4601993000000002;1.8721308;2.3394168;2.7995535;3.3019909000000003;3.8016297000000003;4.3506304;4.421236700000001;4.4966876000000005;4.53152;4.5762191;4.594941400000001;4.6155315;4.5890975;4.603653100000001;4.5742403000000005;4.4895759
IMAGE 3.3;TECH_19;TUR;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;0.49200800000000006;0.6980983700000001;1.0664597;0.9863532800000001;1.1680019000000001;1.0363988000000002;1.2984902;1.0790158;1.0991647;1.1743187000000002;1.7201334000000001;1.5431267000000002;1.3807306000000001;1.2396814;1.1078810000000001;0.9950030700000001;0.8839821400000001;0.9323209;0.9806553600000001;1.009935;1.0390808;1.0839602000000002;1.129029;1.1659505000000001;1.2030063;1.2327877;1.2622683000000001
IMAGE 3.3;TECH_19;UKR;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;2.5103188000000003;3.1998093;3.5158932000000003;4.2280791;3.4102395000000003;0.9716062700000001;0.61167898;0.54956211;0.6639558400000001;0.43523882;0.98072192;1.0204717;1.0595606;1.1247423;1.1899831;1.2372964000000002;1.2841664000000002;1.2990717;1.3141501;1.3273303;1.3402495;1.3360951;1.3320131000000002;1.3233475000000001;1.3144955;1.3013425;1.2882355
IMAGE 3.3;TECH_19;USA;Resources|Nitrogen|Cropland Budget|Balance;Mt Nr/yr;8.0996634;9.1269489;9.8902047;8.4886963;9.0806436;10.322597;9.416093700000001;8.6188524;8.630345700000001;7.4009923;8.2504975;8.0877686;7.9004114;7.7791959;7.5197343000000005;7.3659863;7.1933394;7.2911698000000005;7.397618700000001;7.4431089;7.486744600000001;7.4336169000000005;7.398541300000001;7.3539645;7.3288899;7.2944671;7.2467692
